user,system,children_user,children_system,iowait,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
4.41,0.23,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
4.55,0.23,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
4.69,0.23,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
4.84,0.24,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
5.0,0.24,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
5.15,0.25,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
5.31,0.26,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
5.48,0.27,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
5.64,0.28,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
5.83,0.28,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
6.01,0.29,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
6.19,0.31,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
6.39,0.32,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
6.58,0.33,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
6.79,0.33,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
7.0,0.35,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
7.23,0.35,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
7.45,0.36,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
7.69,0.37,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
7.93,0.38,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
8.18,0.39,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
8.44,0.4,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
8.71,0.41,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
8.99,0.41,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
9.27,0.42,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
9.56,0.44,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
9.86,0.44,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
10.18,0.44,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
10.51,0.45,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
10.85,0.46,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
11.18,0.47,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
11.53,0.49,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
11.9,0.5,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
12.27,0.51,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
12.64,0.54,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
13.04,0.55,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
13.45,0.57,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
13.87,0.58,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
14.3,0.6,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
14.76,0.61,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
15.21,0.64,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
0.0,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
0.99,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.02,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
