user,system,children_user,children_system,iowait,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
12.38,0.34,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
12.98,0.35,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
13.61,0.36,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
14.26,0.39,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
14.95,0.41,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
15.68,0.42,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
16.45,0.43,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
17.25,0.44,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
18.09,0.46,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
18.97,0.48,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
19.89,0.5,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
20.84,0.52,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
21.86,0.54,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
22.91,0.57,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
24.03,0.58,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
25.2,0.61,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
26.42,0.63,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
27.7,0.66,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
29.04,0.69,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
30.45,0.71,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
31.91,0.76,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
33.46,0.79,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
35.08,0.82,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
36.79,0.84,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
38.57,0.88,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
40.45,0.9,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
42.42,0.93,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
44.47,0.98,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
