user,system,children_user,children_system,iowait,time,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
6.38,0.18,0.0,0.0,0.0,6.57551646232605,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
6.57,0.18,0.0,0.0,0.0,6.762956380844116,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
6.76,0.19,0.0,0.0,0.0,6.955764055252075,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
6.95,0.19,0.0,0.0,0.0,7.154011964797974,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
7.15,0.19,0.0,0.0,0.0,7.358006000518799,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
7.37,0.19,0.0,0.0,0.0,7.567741632461548,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
7.57,0.2,0.0,0.0,0.0,7.783465623855591,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
7.79,0.2,0.0,0.0,0.0,8.005355596542358,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
8.01,0.21,0.0,0.0,0.0,8.23356294631958,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
8.24,0.21,0.0,0.0,0.0,8.468279838562012,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
8.48,0.22,0.0,0.0,0.0,8.709688901901245,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
8.72,0.23,0.0,0.0,0.0,8.957977771759033,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
8.97,0.23,0.0,0.0,0.0,9.21334171295166,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
9.23,0.24,0.0,0.0,0.0,9.475956439971924,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
9.48,0.25,0.0,0.0,0.0,9.746118307113647,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
9.75,0.26,0.0,0.0,0.0,10.02396273612976,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
10.03,0.27,0.0,0.0,0.0,10.309707880020142,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
10.3,0.29,0.0,0.0,0.0,10.603617429733276,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
10.59,0.3,0.0,0.0,0.0,10.9058997631073,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
10.9,0.3,0.0,0.0,0.0,11.216774225234985,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
11.22,0.31,0.0,0.0,0.0,11.536560297012329,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
11.54,0.31,0.0,0.0,0.0,11.865431070327759,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
11.87,0.32,0.0,0.0,0.0,12.203686475753784,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
12.21,0.33,0.0,0.0,0.0,12.55155611038208,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
12.57,0.33,0.0,0.0,0.0,12.909392595291138,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
0.0,0.0,0.0,0.0,0.0,7.152557373046875e-07,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
0.98,0.01,0.0,0.0,0.0,1.001086950302124,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.01,0.01,0.0,0.0,0.0,1.0311603546142578,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.04,0.01,0.0,0.0,0.0,1.0631194114685059,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.07,0.01,0.0,0.0,0.0,1.0960211753845215,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.11,0.01,0.0,0.0,0.0,1.1299622058868408,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.14,0.01,0.0,0.0,0.0,1.1649668216705322,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.18,0.01,0.0,0.0,0.0,1.2010586261749268,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.22,0.01,0.0,0.0,0.0,1.2382707595825195,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.26,0.01,0.0,0.0,0.0,1.2766282558441162,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.3,0.01,0.0,0.0,0.0,1.3161778450012207,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.34,0.01,0.0,0.0,0.0,1.3569929599761963,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.38,0.01,0.0,0.0,0.0,1.398991584777832,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.42,0.01,0.0,0.0,0.0,1.4423372745513916,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.46,0.01,0.0,0.0,0.0,1.4870326519012451,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.51,0.01,0.0,0.0,0.0,1.5330867767333984,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.56,0.01,0.0,0.0,0.0,1.58058762550354,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.61,0.01,0.0,0.0,0.0,1.6295530796051025,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.66,0.01,0.0,0.0,0.0,1.6800460815429688,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.71,0.01,0.0,0.0,0.0,1.7321321964263916,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.76,0.01,0.0,0.0,0.0,1.7857604026794434,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.82,0.01,0.0,0.0,0.0,1.841081142425537,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.88,0.01,0.0,0.0,0.0,1.898116111755371,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
1.94,0.01,0.0,0.0,0.0,1.956923246383667,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
2.0,0.01,0.0,0.0,0.0,2.017568588256836,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
2.06,0.01,0.0,0.0,0.0,2.0800650119781494,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
2.12,0.01,0.0,0.0,0.0,2.1445181369781494,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.0696 GHz,2.9000 GHz,256,6,TSP
